X,Y,NAME,ADDRESS,LICENSE_NUMBER,LICENSE_TYPE,LICENSE_ISSUE_DATE,LICENSE_EXPIRATION_DATE,WARD,ZIPCODE,CONTACT_TYPE,EMAIL,PHONE,FAX_NUMBER,START_TIME,END_TIME,POINT_OF_CONTACT,OTHER_CONTACT_DESCRIPTION,C_O_HO_PERMIT_ISSUED_DATE,FIRE_INSPECTION_DATE,NUMBER_OF_INFANTS,NUMBER_OF_PRESCHOOL_CHILDREN,NUMBER_OF_TODDLERS,NUM_OF_SCHOOL_AGE_CHILDREN,AUTHORIZED_CAPACITY,INSPECTOR_ASSIGNED,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_MATCHADDRESS,MARID,OBJECTID
-8567035.4902977,4702832.38463649,The Happy Kids Learning Center,"3233  Pennsylvania AVE, SE ",CDC-910287,Full License,2024/04/29 04:00:00+00,2027/02/28 05:00:00+00,7,20020,Center Director,thehappykidslc@gmail.com,(202) 581-0042,,,,Hazel Haupt,,2015/09/21 04:00:00+00,2023/09/21 04:00:00+00,18,0,52,0,70,stephanie.tindal@dc.gov,38.86834949,-76.95898694,403559.21,133392.65,3233 PENNSYLVANIA AVENUE SE,37792,140227
-8575269.95608307,4711880.54215065,Barbara Chambers Children's Center #3 @Dance Institute,"3400 14th ST, NW ",CDC-910293,Full License,2023/08/02 04:00:00+00,2026/07/31 04:00:00+00,1,20010,Center Director,arivera@barbarachambers.org,(202) 518-0466,,,,Ana Rivera,,2018/10/29 04:00:00+00,2024/03/14 04:00:00+00,16,36,21,0,73,jazmin.hunt@dc.gov,38.93160618,-77.03295837,397142.33,140414.33,3400 14TH STREET NW,302547,140228
-8568425.52914575,4703471.94380808,Brenda Smith,"2415 Minnesota AVE, SE ",CDH-906936,Full License,2024/03/06 05:00:00+00,2026/12/31 05:00:00+00,8,20020,Home Provider,brendajsmith227@gmail.com,(202) 583-0052,,,,Brenda Smith,,2006/05/17 04:00:00+00,2023/10/19 04:00:00+00,2,0,3,0,5,stephanie.tindal@dc.gov,38.87282288,-76.97147386,402475.41,133888.78,2415 MINNESOTA AVENUE SE,47542,140229
-8571265.05210424,4713488.97336712,Nellie Sydnor,"4403  6th PL, NE ",CDH-907995,Full License,2023/10/27 04:00:00+00,2026/10/31 04:00:00+00,5,20017,Home Provider,dede.sydnor@yahoo.com,(202) 269-4283,,,,Nellie Sydnor,,1995/02/01 05:00:00+00,2023/08/21 04:00:00+00,2,2,2,0,6,jazmin.hunt@dc.gov,38.94284461,-76.99698172,400261.66,141661.42,4403 6TH PLACE NE,22381,140230
-8571286.12023992,4706527.26515233,Yvonne Stewart Delancey,"639  Maryland AVE, NE ",CDH-908297,Restricted,2024/12/27 05:00:00+00,2025/03/27 04:00:00+00,6,20002,Other,brebrecdh@yahoo.com,(202) 544-0767,,,,Yvonne Stewart Delancey,HOME PROVIDER,2000/04/04 04:00:00+00,2023/10/18 04:00:00+00,2,2,2,0,6,Zulieka.Crawford@dc.gov,38.89418782,-76.99717098,400245.42,136260.07,639 MARYLAND AVENUE NE,2273,140231
-8565410.47513282,4704603.06469887,Marlene A Hudson,"708  Adrian ST, SE ",CDH-908545,Full License,2024/10/07 04:00:00+00,2027/02/28 05:00:00+00,7,20019,Owner/Director,HUDSONCHILDDEVELOPMENT@GMAIL.COM,(202) 575-5139,,,,Marlene Hudson,,1994/12/01 05:00:00+00,2024/10/09 04:00:00+00,2,2,2,0,6,Makia.Tabourn@dc.gov,38.88073321,-76.94438918,404825.2,134767.97,708 ADRIAN STREET SE,76674,140232
-8566967.46070787,4705218.20966088,Little Lamb Child Care/Artimitia J. Mitchell,"3341 Dubois PL, SE ",CDH-908763,Full License,2023/12/15 05:00:00+00,2026/11/30 05:00:00+00,7,20019,Home Provider,georgesampson40@yahoo.com,(202) 582-4226,,,,Artimita Mitchell,,2010/03/05 05:00:00+00,2024/08/15 04:00:00+00,2,2,2,0,6,candia.faison@dc.gov,38.88503478,-76.95837582,403611.4,135244.83,3341 DUBOIS PLACE SE,35829,140233
-8570038.7664165,4714651.20677875,Voices of Little Angels Child Development Home/Alice Burt,"5026 14th ST, NE ",CDH-908872,Full License,2024/01/22 05:00:00+00,2026/12/31 05:00:00+00,5,20017,Home Provider,voicesoflittleangelschildcdh@gmail.com,(202) 526-6809,,,,Alice Burt,,1997/05/16 04:00:00+00,2024/08/28 04:00:00+00,2,0,4,0,6,candia.faison@dc.gov,38.95096484,-76.98596581,401216.51,142562.89,5026 14TH STREET NE,14814,140234
-8563885.4215829,4707747.66673888,Diane Jackson,"4962 Just ST, NE ",CDH-909046,Restricted,2025/01/17 05:00:00+00,2025/03/24 04:00:00+00,7,20019,Home Provider,tinytots4962@yahoo.com,(202) 455-9311,,,,Diane Jackson,,2012/10/04 04:00:00+00,2023/07/10 04:00:00+00,0,2,2,2,6,kanell.johnson@dc.gov,38.90271959,-76.93068939,406012.04,137209.48,4962 JUST STREET NE,288380,140235
-8567215.42834813,4701859.7083062,Alfreda Wright-Brown/ Freedie's Beloved Childcare,"3217 Alabama  AVE, SE ",CDH-909361,Full License,2024/05/20 04:00:00+00,2026/12/31 05:00:00+00,7,20020,Home Provider,alfredawrightbrown93@yahoo.com,(202) 560-5296,,,,Alfreda Wright-Brown,,2002/03/14 04:00:00+00,2024/12/04 05:00:00+00,2,0,4,0,6,Zulieka.Crawford@dc.gov,38.86154641,-76.96060335,403419.26,132637.36,3217 ALABAMA AVENUE SE,38230,140236
-8569499.16725164,4701148.08348792,Tiny Tots Childcare Development Home LLC,"2419 17th ST, SE ",CDH-909484,Full License,2023/09/22 04:00:00+00,2026/07/31 04:00:00+00,8,20020,Home Provider,tinytotsdc@icloud.com ,(202) 870-8378,,,,Anita Miller Tolliver,,2009/10/16 04:00:00+00,2024/08/07 04:00:00+00,2,0,2,2,6,stephanie.tindal@dc.gov,38.85656819,-76.98111852,401638.85,132084.21,2419 17TH STREET SE,47384,140237
-8573541.39967096,4713557.17855991,Marjorie McCollough-Jackson,"4300  4th ST, NW ",CDH-909499,Full License,2023/10/25 04:00:00+00,2026/10/31 04:00:00+00,4,20011,Home Provider,urjewelstreasures@hotmail.com,(202) 726-3968,,,,Marjorie Mccollough-Jackson,,2009/09/14 04:00:00+00,2024/11/01 04:00:00+00,2,2,2,0,6,Makia.Tabourn@dc.gov,38.94332149,-77.01743049,398488.93,141714.46,4300 4TH STREET NW,248097,140238
-8570270.07175877,4712957.17703401,La'Vel P. Jackson,"4017 13th ST, NE ",CDH-909523,Full License,2023/12/15 05:00:00+00,2026/11/30 05:00:00+00,5,20017,Home Provider,thereadingroomcdp@gmail.com,(202) 469-2782,,,,La'Vel Jackson,,2002/04/16 04:00:00+00,2024/12/24 05:00:00+00,2,0,3,0,5,candia.faison@dc.gov,38.93912927,-76.98804366,401036.57,141249.01,4017 13TH STREET NE,27897,140239
-8575179.38443142,4712923.25304079,Maria Alfaro,"1351 Randolph ST, NW ",CDH-909652,Full License,2024/01/30 05:00:00+00,2026/12/31 05:00:00+00,4,20011,Home Provider,adelaalfaro57@gmail.com,(202) 910-0708,,,,Maria Alfaro,,2009/10/27 04:00:00+00,2024/10/09 04:00:00+00,2,2,2,0,6,yesset.makonnen@dc.gov,38.93889223,-77.03214476,397213.16,141223.12,1351 RANDOLPH STREET NW,225118,140240
-8573339.02716979,4713258.79183829,Paulette A. Sansbury,"4100  3rd ST, NW ",CDH-909659,Full License,2024/01/09 05:00:00+00,2026/12/31 05:00:00+00,4,20011,Home Provider,Paulette.god.is.so.good@gmail.com,(202) 413-9431,,,,Paulette Sansbury,,2014/10/03 04:00:00+00,2024/06/18 04:00:00+00,2,2,2,0,6,kimberly.handon-lindsey@dc.gov,38.94123668,-77.01561255,398646.49,141483,4100 3RD STREET NW,259600,140241
-8572815.22150659,4696760.12309502,Linda T Waller,"130 Elmira ST, SW ",CDH-909691,Full License,2023/07/31 04:00:00+00,2026/07/31 04:00:00+00,8,20032,Home Provider,waller130@yahoo.com,(202) 561-1504,,,,Linda Waller,,2011/02/02 05:00:00+00,2024/03/20 04:00:00+00,2,1,2,0,5,Makia.Tabourn@dc.gov,38.82586659,-77.01090713,399052.89,128675.97,130 ELMIRA STREET SW,68945,140242
-8568393.50049047,4703379.2836402,Barbara P. Joaquin,"1519  25th  ST, SE ",CDH-909730,Full License,2023/11/28 05:00:00+00,2026/11/30 05:00:00+00,8,20020,Home Provider,barbarajoaquin57@gmail.com,(202) 248-9727,,,,Barbara Joaquin,,2007/07/18 04:00:00+00,2024/03/19 04:00:00+00,2,0,4,0,6,stephanie.tindal@dc.gov,38.87217483,-76.97118615,402500.4,133816.85,1519 25TH STREET SE,61629,140243
-8563844.13298286,4707751.39789412,Future Stars Early Learning Center,"4980 Just ST, NE ",CDH-909786,Full License,2024/09/25 04:00:00+00,2027/04/30 04:00:00+00,7,20019,Home Provider,futurestarsearlylearningcenter@gmail.com,(202) 968-1416,,,,Chantelle Coles,,2017/10/20 04:00:00+00,2024/03/15 04:00:00+00,2,2,2,0,6,ronica.milledge1@dc.gov,38.90274601,-76.93031849,406044.21,137212.4,4980 JUST STREET NE,304760,140244
-8570045.37078325,4707721.89387229,Rhonda Ayers,"1208 Orren ST., NE ",CDH-909807,Full License,2025/02/05 05:00:00+00,2026/10/31 04:00:00+00,5,20002,Home Provider,rhondashomedaycare1@gmail.com,(202) 388-1439,,,,Rhonda Ayers,,2011/12/02 05:00:00+00,2023/10/31 04:00:00+00,2,2,2,0,6,Makia.Tabourn@dc.gov,38.90253975,-76.98602514,401212.19,137187.29,1208 ORREN STREET NE,71924,140245
-8575159.5096663,4717052.18486867,Ana Maria Lora/Bilingual Ia-s Nest,"1353 Tuckerman ST, NW ",CDH-909809,Full License,2023/12/15 05:00:00+00,2026/12/31 05:00:00+00,4,20011,Home Provider,thelittlegreennest@yahoo.com,(202) 641-2993,,,,Anna Lora,,2010/05/06 04:00:00+00,2025/01/09 05:00:00+00,2,2,2,0,6,kimberly.handon-lindsey@dc.gov,38.96773622,-77.03196622,397229.76,144425.06,1353 TUCKERMAN STREET NW,257476,140246
-8570715.1649646,4702291.75355741,Jynell Williams,"1114  Chicago ST, SE ",CDH-909814,Full License,2023/08/03 04:00:00+00,2026/07/31 04:00:00+00,8,20020,Home Provider,jynellcc@yahoo.com,(202) 394-9798,,,,Jynell Williams,,2011/09/21 04:00:00+00,2025/12/04 05:00:00+00,1,2,3,0,6,stephanie.tindal@dc.gov,38.86456844,-76.99204201,400690.65,132972.12,1114 CHICAGO STREET SE,74014,140247
-8567069.73508253,4705991.77035198,Stephanie Dobson,"3327 Ames ST, NE ",CDH-910008,Full License,2023/09/15 04:00:00+00,2026/09/30 04:00:00+00,7,20019,Home Provider,stepdobson@gmail.com,(202) 246-1746,,,,Stephanie Dobson,,2011/05/10 04:00:00+00,2024/09/26 04:00:00+00,2,2,2,0,6,ronica.milledge1@dc.gov,38.89044373,-76.95929456,403531.42,135845.23,3327 AMES STREET NE,36377,140248
-8573978.92655771,4716964.49210114,Fathema Johra,"602 Tuckerman ST, NW ",CDH-910054,Full License,2023/12/15 05:00:00+00,2026/10/31 04:00:00+00,4,20011,Home Provider,fathemajohra@yahoo.com,(202) 483-8843,,,,Fathema Johra,,2011/09/26 04:00:00+00,2024/03/25 04:00:00+00,2,2,2,0,6,kimberly.handon-lindsey@dc.gov,38.9671234,-77.02136086,398148.82,144356.8,602 TUCKERMAN STREET NW,251514,140249
-8570753.02810411,4715598.42165078,Reina  Calderon,"5608  Eastern AVE, NE ",CDH-910196,Full License,2023/10/31 04:00:00+00,2026/10/31 04:00:00+00,4,20011,Home Provider,reinae75@hotmail.com,(202) 246-4826,,,,Reina Calderon,,2012/08/08 04:00:00+00,2024/05/06 04:00:00+00,2,2,2,0,6,yesset.makonnen@dc.gov,38.95758182,-76.99238213,400660.27,143297.37,5608 EASTERN AVENUE NE,7583,140250
-8576286.39354715,4710904.25510848,Julie  A. Lujan,"1761  Lanier PL, NW ",CDH-910246,Full License,2023/08/11 04:00:00+00,2026/08/31 04:00:00+00,1,20009,Home Provider,JAJULS@AOL.COM,(202) 288-9135,,,,Julie Lujan,,2015/04/08 04:00:00+00,2024/06/17 04:00:00+00,4,0,2,0,6,yesset.makonnen@dc.gov,38.9247836,-77.04208919,396350.29,139657.29,1761 LANIER PLACE NW,236055,140251
-8571628.31494874,4697656.45215584,Paramount Child Development Center,"3924  4TH ST, SE ",CDC-906717,Full License,2023/12/15 05:00:00+00,2026/11/30 05:00:00+00,8,20032,Center Director,terri.alston@paramountbaptistchurch.org,(202) 562-3404,,,,Terri Alston,,1996/10/17 04:00:00+00,2023/12/05 05:00:00+00,0,52,22,26,100,ronica.milledge1@dc.gov,38.83213881,-77.00024497,399978.73,129372.21,3924 4TH STREET SE,29051,140252
-8572651.75847124,4716836.9546238,Roots Activity Learning Center,"6222  North Capitol ST, NW ",CDC-906724,Full License,2024/03/29 04:00:00+00,2027/02/28 05:00:00+00,4,20011,Center Director,tanzaterrell0810@gmail.com,(202) 882-5155,,,,Tanza Terrell,,1988/09/02 04:00:00+00,2024/12/12 05:00:00+00,24,16,36,24,100,Zulieka.Crawford@dc.gov,38.96623295,-77.00943871,399182.01,144257.74,6222 NORTH CAPITOL STREET NW,277484,140253
-8566713.26009838,4702066.02778139,St. Timothy's Episcopal CDC,"3601  Alabama AVE, SE ",CDC-906885,Full License,2024/05/03 04:00:00+00,2027/04/30 04:00:00+00,7,20020,Center Director,sttimothyepiscopalcdc@gmail.com,(202) 584-5662,,,,Yvonne Robison,,1956/02/10 05:00:00+00,2024/05/02 04:00:00+00,10,32,16,30,88,stephanie.tindal@dc.gov,38.86298957,-76.95609229,403810.7,132797.74,3601 ALABAMA AVENUE SE,33104,140254
-8573426.53711825,4715492.23760056,Lynn Carol's Academy Of Early Learning,"5506 3rd ST, NW ",CDC-906920,Full License,2023/10/17 04:00:00+00,2026/10/31 04:00:00+00,4,20011,Center Director,LYNNCAROLSDC@AOL.COM,(202) 291-2929,,,,Rachel Bickersteth,,2012/03/07 05:00:00+00,2024/05/31 04:00:00+00,8,32,8,12,60,stephanie.tindal@dc.gov,38.95683975,-77.01639866,398578.65,143215.13,5506 3RD STREET NW,249459,140255
-8574191.31074876,4708929.15491578,"Ujamaa School, Inc.","1554  8th ST, NW APT C-01",CDC-906934,Temporary Closure,2024/04/01 04:00:00+00,2026/11/30 05:00:00+00,2,20001,Center Director,ujamaaschool1@verizon.net,(202) 232-2997,,,,Dr. El S. Zulu,,1977/10/12 04:00:00+00,2024/10/23 04:00:00+00,0,7,7,0,14,Makia.Tabourn@dc.gov,38.910979,-77.02326874,397981.89,138124.28,1554 8TH STREET NW,225799,140256
-8580304.02850402,4716844.81013082,Chevy Chase-Bethesda Community Children's Center,"5671 Western AVE, NW ",CDC-907018,Full License,2023/11/22 05:00:00+00,2026/11/30 05:00:00+00,3,20015,Center Director,director@theccbccc.org,(202) 966-3299,,,,Emma Hatton,,2007/09/25 04:00:00+00,2024/09/19 04:00:00+00,0,119,15,0,134,yesset.makonnen@dc.gov,38.96628782,-77.0781802,393224.65,144266.69,5671 WESTERN AVENUE NW,264763,140257
-8571272.44586298,4699203.15648441,Rehoboth Baptist Church Child Development Center,"621 Alabama AVE, SE ",CDC-907043,Full License,2024/01/25 05:00:00+00,2026/12/31 05:00:00+00,8,20032,Center Director,rehobothcdc@yahoo.com,(202) 561-5286,,,,Shirley Cooley,,1980/08/06 04:00:00+00,2024/01/24 05:00:00+00,0,72,28,80,180,candia.faison@dc.gov,38.84296144,-76.99704815,400256.26,130573.6,621 ALABAMA AVENUE SE,3799,140258
-8574945.07885218,4711085.71224469,Easter Seals Serving DC/MD/VA Inc,"2800 13th ST, NW BLDG 202",CDC-907044,Full License,2023/12/15 05:00:00+00,2026/11/30 05:00:00+00,1,20009,Center Director,larry.johnson@eseal.org,(202) 387-4434 x104,,,,Larry Donnell Johnson Jr.,,2015/11/24 05:00:00+00,2024/09/04 04:00:00+00,12,16,68,0,96,ronica.milledge1@dc.gov,38.92605139,-77.03003995,397395.17,139797.65,2800 13TH STREET NW,231593,140259
-8567419.29011438,4704234.21791116,Wibble Wobble Child Development Center,"1 Randle Circle, SE ",CDC-907162,Full License,2023/07/31 04:00:00+00,2026/07/31 04:00:00+00,7,20019,Owner/Director,ipaanglin@yahoo.com,(202) 582-1011,,,,Patricia Anglin,,1998/07/29 04:00:00+00,2024/06/17 04:00:00+00,0,25,0,10,35,Makia.Tabourn@dc.gov,38.87815383,-76.96243467,403259.56,134480.84,1 RANDLE CIRCLE SE,76019,140260
-8574587.75219263,4713107.11293508,Adventureland Day Nursery # 1,"4015 Kansas AVE, NW ",CDC-907176,Full License,2024/08/06 04:00:00+00,2026/10/31 04:00:00+00,4,20011,Other,adventureland_cofer1@verizon.net,(202) 722-0828,,,,Evelyn Burrow,Assistant Teacher,2014/06/18 04:00:00+00,2024/11/13 05:00:00+00,4,18,23,16,61,candia.faison@dc.gov,38.94017689,-77.02683003,397673.97,141365.58,4015 KANSAS AVENUE NW,223646,140261
-8581779.4639894,4709661.58394364,Saint Patrick's Episcopal Day School Infant Toddler Center,"4700  Whitehaven PKWY, NW ",CDC-907244,Full License,2024/05/01 04:00:00+00,2027/03/31 04:00:00+00,3,20007,Center Director,giguerep@stpatsdc.org,(202) 342-2805,,,,Paul Lorenzo Giguere,,1998/02/19 05:00:00+00,2024/10/16 04:00:00+00,16,0,34,0,50,yesset.makonnen@dc.gov,38.91609816,-77.09143426,392070.43,138696.3,4700 WHITEHAVEN PARKWAY NW,224448,140262
-8579156.31565161,4711668.9590078,Beauvoir Nursery School,"3500 Woodley RD, NW ",CDC-907252,Full License,2024/01/08 05:00:00+00,2027/01/31 05:00:00+00,3,20016,Center Director,Colleen.Williams@bvrschool.org,(202) 537-6485,,,,Colleen Williams,,2010/08/19 04:00:00+00,2024/10/03 04:00:00+00,28,75,75,0,178,stephanie.tindal@dc.gov,38.93012763,-77.06787013,394115.17,140251.87,3500 WOODLEY ROAD NW,300818,140263
-8571044.39573228,4701469.20456012,Matthews Memorial Baptist CDC,"2616 Martin Luther King Jr.,  AVE, SE ",CDC-907294,Full License,2024/06/03 04:00:00+00,2027/03/31 04:00:00+00,8,20020,Center Director,tammylmmcdc@yahoo.com,(202) 889-3707,,,,Tammy Lucas,,2008/08/28 04:00:00+00,2024/10/15 04:00:00+00,7,36,17,40,100,stephanie.tindal@dc.gov,38.85881451,-76.99499954,400434.01,132333.41,2616 MARTIN LUTHER KING JR AVENUE SE,278192,140264
-8577091.32774188,4708837.10208932,School For Friends,"2201 P ST, NW ",CDC-907318,Full License,2023/11/15 05:00:00+00,2026/11/30 05:00:00+00,2,20037,Other,admin@schoolforfriends.org,(202) 328-1789,,,,Sabine Zeffler and Makai Kellog,Interim Directors,2016/10/06 04:00:00+00,2023/10/02 04:00:00+00,0,54,20,0,74,ronica.milledge1@dc.gov,38.91033555,-77.04932003,395722.41,138053.75,2201 P STREET NW,301069,140265
-8580032.71068709,4716979.57351802,Chevy Chase Presbyterian Church Nursery School,"1 Chevy Chase CIR, NW ",CDC-907332,Full License,2023/10/30 04:00:00+00,2026/10/31 04:00:00+00,3,20015,Center Director,wnsdirector@chevychasepc.org,(202) 363-2209,,,,Nicole Page,,2018/10/23 04:00:00+00,2024/09/19 04:00:00+00,0,81,22,0,103,candia.faison@dc.gov,38.96722907,-77.07574291,393435.96,144371,1 CHEVY CHASE CIRCLE NW,283905,140266
-8581358.18001604,4712340.85437622,Metropolitan Methodist Church Nursery School,"3401  Nebraska AVE, NW ",CDC-907335,Full License,2024/08/16 04:00:00+00,2026/11/30 05:00:00+00,3,20016,Center Director,Kmaxson@nationalchurch.org,(202) 362-8746,,,,Kristen Maxson,,2020/06/15 04:00:00+00,2024/08/27 04:00:00+00,0,80,36,0,116,yesset.makonnen@dc.gov,38.93482242,-77.0876498,392400.63,140774.53,3401 NEBRASKA AVENUE NW,298676,140267
-8571700.4940317,4705231.01878214,The Hill Preschool,"337  North Carolina AVE, SE ",CDC-907336,Full License,2023/11/09 05:00:00+00,2026/10/31 04:00:00+00,6,20003,Center Director,nina.mack@thehillpreschool.org,(202) 543-5372,,,,Nilakshini  Mack,,1998/11/03 05:00:00+00,2023/12/27 05:00:00+00,0,14,40,0,54,kimberly.handon-lindsey@dc.gov,38.88512401,-77.00089336,399922.49,135253.95,337 NORTH CAROLINA AVENUE SE,301926,140268
-8580778.98562088,4714258.02515273,St. Columba's Nursery School,"4201  Albermarle St, NW ",CDC-907382,Full License,2023/12/05 05:00:00+00,2026/11/30 05:00:00+00,3,20016,Center Director,kmurphy@columba.org,(202) 742-1980,,,,Kate Murphy,,2018/03/19 04:00:00+00,2024/07/17 04:00:00+00,0,76,24,0,100,yesset.makonnen@dc.gov,38.948218,-77.08244681,392853.08,142261.1,4201 ALBEMARLE STREET NW,301545,140269
-8565846.99450251,4706737.09674504,Community Educational Research Group,"4021 Minnesota  AVE, NE ",CDC-907386,Full License,2024/11/06 05:00:00+00,2027/03/31 04:00:00+00,7,20019,Owner/Director,cerg_minnave@commresh.com,(202) 397-1170,,,,Jeffrey Credit,,2010/03/02 05:00:00+00,2024/06/12 04:00:00+00,8,12,19,0,39,Zulieka.Crawford@dc.gov,38.89565454,-76.9483105,404484.02,136424.19,4021 MINNESOTA AVENUE NE,27825,140270
-8583382.11148302,4711644.47707103,"The Community Preschool Of Palisades, Inc.","5200  Cathedral  AVE, NW ",CDC-907499,Full License,2023/10/31 04:00:00+00,2026/10/31 04:00:00+00,3,20016,Center Director,director@palisadespreschooldc.org,(202) 364-8424,,,,Catherine Moody,,2020/08/14 04:00:00+00,2024/08/27 04:00:00+00,0,50,0,0,50,yesset.makonnen@dc.gov,38.92995655,-77.10583108,390823.66,140236.01,5200 CATHEDRAL AVENUE NW,224233,140271
-8571393.38200514,4697131.78366466,Sunshine Early Learning Center,"4224  6th ST, SE ",CDC-907526,Full License,2024/05/08 04:00:00+00,2027/03/31 04:00:00+00,8,20032,Center Director, t.bell@sunshinedc.org,(202) 561-1100,,,,Tiffany Bell,,2005/04/06 04:00:00+00,2023/05/02 04:00:00+00,16,100,74,10,200,Makia.Tabourn@dc.gov,38.82846755,-76.99813453,400161.98,128964.64,4224 6TH STREET SE,149601,140272
-8575020.85043041,4708872.89973732,"Kingman Boys- Club, Inc.","1529  Kingman PL, NW ",CDC-907582,Full License,2024/05/21 04:00:00+00,2027/04/30 04:00:00+00,2,20005,Center Director,kbgc@starpower.net,(202) 483-1210,,,,Shiffaun Alston,,1995/05/30 04:00:00+00,2025/02/04 05:00:00+00,0,0,0,100,100,Zulieka.Crawford@dc.gov,38.91058578,-77.03072062,397335.57,138080.82,1529 KINGMAN PLACE NW,225740,140273
-8570939.85706419,4713896.66110483,Kennedy Child Development Center,"801  Buchanan ST, NE ",CDC-907592,Full License,2024/08/27 04:00:00+00,2027/01/31 05:00:00+00,5,20017,Other,barbara.lankster@cc-dc.org,(202) 281-2700,,,,Barbara Lankster,Consultant,1980/01/31 05:00:00+00,2023/10/24 04:00:00+00,8,46,16,0,70,kanell.johnson@dc.gov,38.94569301,-76.99406044,400514.89,141977.63,801 BUCHANAN STREET NE,288962,140274
-8574868.72302395,4706929.06785474,Hogan Lovells Emergency Child Care,"555 13th  ST, NW ",CDC-907723,Full License,2023/10/10 04:00:00+00,2026/10/31 04:00:00+00,2,20004,Center Director,HOGANLOVELLS@BRIGHTHORIZONS.COM,(202) 637-8650,,,,Maria Pulido,,1999/04/15 04:00:00+00,2024/07/29 04:00:00+00,3,16,3,10,32,jazmin.hunt@dc.gov,38.89699703,-77.02935404,397453.61,136572.32,555 13TH STREET NW,240935,140275
-8580944.12413449,4715863.00011956,Friendship Children's Center # 1,"5310  43RD ST, NW ",CDC-907757,Full License,2024/03/05 05:00:00+00,2026/09/30 04:00:00+00,3,20015,Center Director,leah@friendshipchildren.org,(202) 244-1402,,,,Leah Potts,,2010/07/27 04:00:00+00,2024/10/23 04:00:00+00,14,0,17,0,31,Makia.Tabourn@dc.gov,38.95942999,-77.08393028,392725.63,143505.85,5310 43RD STREET NW,302588,140276
-8578561.10655714,4708487.57485626,The Children's House Of Washington Montessori,"3133  Dumbarton ST, NW ",CDC-907890,Full License,2023/12/13 05:00:00+00,2026/09/30 04:00:00+00,2,20007,Center Director,chowdirector@gmail.com,(202) 342-2551,,,,Monica Brewer,,1990/09/04 04:00:00+00,2024/09/19 04:00:00+00,0,15,12,0,27,Zulieka.Crawford@dc.gov,38.90789229,-77.06252327,394577.09,137783.23,3133 DUMBARTON STREET NW,275439,140277
-8575966.77400265,4711979.56675439,Preparatory School For Early Learning,"3220 17th ST, NW #C 40 ",CDC-907969,Full License,2023/11/08 05:00:00+00,2026/10/31 04:00:00+00,1,20010,Center Director,prepsch3220@gmail.com,(202) 462-6835,,,,Betty Fenwick North,,1990/12/07 05:00:00+00,2023/09/12 04:00:00+00,8,0,20,0,28,candia.faison@dc.gov,38.93229816,-77.03921799,396599.62,140491.36,3220 17TH STREET NW,233527,140278
-8571022.02016359,4713597.70415924,Institute Of Our Lady Of Mt. Carmel CDC,"4407  8TH ST, NE ",CDC-908059,Full License,2023/10/01 04:00:00+00,2026/10/31 04:00:00+00,5,20017,Center Director,scrilli_1@yahoo.com,(202) 526-5106,,,,Sr. Reetha Varghese,,1990/05/30 04:00:00+00,2024/02/12 05:00:00+00,0,21,44,0,65,stephanie.tindal@dc.gov,38.94360463,-76.99479853,400450.92,141745.76,4407 8TH STREET NE,289252,140279
-8573910.07513564,4706579.61396011,"Just Us Kids, Inc","625  Indiana  AVE, NW ",CDC-908131,Full License,2024/02/06 05:00:00+00,2027/01/31 05:00:00+00,2,20004,Center Director,sumaira.justuskids@gmail.com,(202) 353-3300,,,,Sumaira khalid,,1992/05/28 04:00:00+00,2024/09/10 04:00:00+00,20,40,25,0,85,Makia.Tabourn@dc.gov,38.89455382,-77.02074236,398200.59,136300.9,625 INDIANA AVENUE NW,279862,140280
-8580323.5108702,4712198.79171416,Washington Hebrew Congregation,"3935 Macomb ST, NW ",CDC-908160,Full License,2023/06/01 04:00:00+00,2026/06/30 04:00:00+00,3,20016,Center Director,kzeldes@whctemple.org,(202) 895-6340,,,,Kristin Zeldes,,2010/10/13 04:00:00+00,2024/02/27 05:00:00+00,0,100,30,0,130,yesset.makonnen@dc.gov,38.93382973,-77.07835522,393206.39,140663.6,3935 MACOMB STREET NW,223083,140281
-8578007.45794021,4712630.58210186,Gan HaYeled @ Adas Israel Congregation,"2850 Quebec ST, NW ",CDC-908162,Full License,2024/01/24 05:00:00+00,2026/12/31 05:00:00+00,3,20008,Center Director,noah.hichenberg@adasisrael.org,(202) 362-4491,,,,Noah Hichenberg,,2023/06/05 04:00:00+00,2024/06/07 04:00:00+00,0,103,72,0,175,yesset.makonnen@dc.gov,38.93684691,-77.05754976,395010.49,140997.19,2850 QUEBEC STREET NW,219289,140282
-8574860.40693334,4709257.24954547,"Edward C. Mazique Parent Child Center, Inc @ the Ruth E. Rucker Bld.","1719 13th ST, NW ",CDC-908198,Full License,2023/12/20 05:00:00+00,2026/12/31 05:00:00+00,2,20009,Other,akeys@ecmpcc.org,(202) 462-3375,,,,Almeta Keys,Chief Executive Officer,1992/09/02 04:00:00+00,2024/08/26 04:00:00+00,24,48,104,0,176,stephanie.tindal@dc.gov,38.91327234,-77.02927933,397460.67,138379.01,1719 13TH STREET NW,240868,140283
